iter	Passed	Remaining
428	1837	2445
429	1840	2439
430	1842	2432
431	1844	2425
432	1846	2418
433	1848	2411
434	1853	2407
435	1856	2401
436	1859	2395
437	1861	2388
438	1867	2386
439	1869	2379
440	1872	2372
441	1874	2366
442	1880	2364
443	1883	2358
444	1886	2352
445	1888	2346
446	1891	2339
447	1899	2340
448	1903	2336
449	1912	2337
450	1915	2331
451	1918	2325
452	1934	2336
453	1939	2332
454	1942	2327
455	1945	2320
456	1971	2342
457	2006	2375
458	2011	2371
459	2022	2373
460	2025	2368
461	2039	2375
462	2045	2372
463	2052	2370
464	2055	2364
465	2063	2364
466	2068	2360
467	2071	2355
468	2084	2360
469	2088	2354
470	2094	2352
471	2098	2347
472	2101	2341
473	2107	2339
474	2110	2332
475	2115	2329
476	2120	2324
477	2125	2320
478	2127	2314
479	2130	2308
480	2133	2301
481	2147	2307
482	2149	2301
483	2154	2297
484	2158	2291
485	2161	2285
486	2163	2279
487	2165	2272
488	2174	2272
489	2176	2265
490	2179	2259
491	2181	2252
492	2187	2249
493	2189	2242
494	2191	2235
495	2193	2229
496	2196	2222
497	2202	2220
498	2205	2214
499	2207	2207
500	2209	2200
501	2212	2194
502	2215	2188
503	2217	2182
504	2219	2175
505	2221	2169
506	2223	2162
507	2230	2160
508	2233	2154
509	2235	2147
510	2237	2141
511	2239	2134
512	2244	2130
513	2246	2123
514	2249	2118
515	2251	2111
516	2258	2109
517	2261	2104
518	2264	2098
519	2267	2092
520	2269	2086
521	2273	2081
522	2275	2075
523	2278	2069
524	2280	2063
525	2282	2056
526	2284	2050
527	2290	2047
528	2292	2041
529	2294	2035
530	2297	2029
531	2300	2023
532	2307	2021
533	2310	2015
534	2312	2009
535	2314	2003
536	2320	2000
537	2322	1994
538	2325	1988
539	2327	1982
540	2329	1976
541	2331	1970
542	2335	1965
543	2337	1959
544	2339	1953
545	2341	1947
546	2347	1943
547	2350	1938
548	2352	1932
549	2355	1926
550	2358	1922
551	2364	1918
552	2366	1912
553	2369	1907
554	2372	1902
555	2381	1901
556	2384	1896
557	2386	1890
558	2388	1884
559	2393	1880
560	2395	1874
561	2398	1869
562	2400	1863
563	2403	1858
564	2410	1855
565	2412	1849
566	2414	1844
567	2417	1838
568	2419	1832
569	2425	1829
570	2429	1825
571	2432	1819
572	2434	1814
573	2443	1813
574	2448	1809
575	2456	1808
576	2460	1803
577	2476	1807
578	2479	1802
579	2488	1801
580	2491	1796
581	2494	1791
582	2524	1805
583	2527	1800
584	2560	1816
585	2577	1820
586	2586	1820
587	2593	1816
588	2602	1815
589	2604	1809
590	2607	1804
591	2616	1803
592	2620	1798
593	2623	1793
594	2626	1787
595	2632	1784
596	2634	1778
597	2637	1773
598	2650	1774
599	2653	1769
600	2664	1768
601	2673	1767
602	2678	1763
603	2681	1757
604	2684	1752
605	2686	1746
606	2697	1746
607	2701	1741
608	2703	1736
609	2709	1732
610	2713	1727
611	2716	1722
612	2718	1716
613	2722	1711
614	2725	1705
615	2727	1700
616	2729	1694
617	2731	1688
618	2734	1682
619	2739	1678
620	2741	1673
621	2743	1667
622	2746	1661
623	2749	1656
624	2753	1651
625	2755	1646
626	2758	1640
627	2760	1635
628	2762	1629
629	2768	1625
630	2772	1621
631	2774	1615
632	2776	1610
633	2780	1604
634	2788	1602
635	2791	1597
636	2794	1592
637	2796	1586
638	2798	1581
639	2804	1577
640	2806	1571
641	2808	1566
642	2810	1560
643	2813	1555
644	2817	1550
645	2819	1545
646	2821	1539
647	2824	1534
648	2826	1528
649	2829	1523
650	2834	1519
651	2836	1513
652	2838	1508
653	2840	1502
654	2843	1497
655	2850	1494
656	2852	1489
657	2855	1484
658	2858	1479
659	2865	1476
660	2868	1471
661	2871	1466
662	2873	1460
663	2880	1457
664	2882	1452
665	2884	1446
666	2887	1441
667	2890	1436
668	2894	1432
669	2897	1426
670	2899	1421
671	2901	1416
672	2904	1411
673	2908	1406
674	2911	1401
675	2913	1396
676	2915	1391
677	2918	1386
678	2924	1382
679	2926	1377
680	2929	1372
681	2931	1366
682	2933	1361
683	2935	1356
684	2940	1352
685	2942	1346
686	2944	1341
687	2947	1336
688	2950	1331
689	2955	1327
690	2958	1322
691	2961	1318
692	2966	1314
693	2969	1309
694	2971	1304
695	2974	1299
696	2977	1294
697	2988	1292
698	2992	1288
699	3009	1289
700	3012	1284
701	3016	1280
702	3020	1276
703	3023	1271
704	3040	1272
705	3049	1269
706	3052	1264
707	3069	1265
708	3072	1261
709	3085	1260
710	3101	1260
711	3104	1255
712	3107	1250
713	3120	1249
714	3128	1246
715	3131	1242
716	3137	1238
717	3144	1234
718	3147	1230
719	3159	1228
720	3163	1224
721	3166	1219
722	3173	1216
723	3177	1211
724	3183	1207
725	3190	1204
726	3192	1198
727	3198	1194
728	3206	1192
729	3209	1187
730	3213	1182
731	3225	1180
732	3228	1175
733	3231	1170
734	3236	1166
735	3241	1162
736	3246	1158
737	3250	1153
738	3253	1149
739	3256	1144
740	3259	1139
741	3261	1133
742	3266	1129
743	3269	1124
744	3271	1119
745	3274	1114
746	3276	1109
747	3281	1105
748	3283	1100
749	3286	1095
750	3288	1090
751	3290	1085
752	3295	1080
753	3298	1076
754	3300	1071
755	3303	1066
756	3305	1061
757	3312	1057
758	3314	1052
759	3317	1047
760	3319	1042
761	3326	1038
762	3328	1034
763	3331	1029
764	3336	1024
765	3341	1020
766	3344	1015
767	3346	1011
768	3349	1006
769	3353	1001
770	3357	997
771	3359	992
772	3361	987
773	3364	982
774	3366	977
775	3371	973
776	3373	968
777	3376	963
778	3378	958
779	3380	953
780	3383	948
781	3385	943
782	3388	938
783	3390	934
784	3393	929
785	3395	924
786	3399	920
787	3401	915
